Team,Goalkeepers,Defenders,Midfielder,Forwards
AFC Bournemouth,Neto:897$;M. Travers:350$;D. Randolph:280$;C. Plain:741$,M. Senesi:247$;L. Kelly:489$;A. Smith:592$;C. Mepham:358$;I. Zabarnyi:186$;M. Vina:122$;Jack Stephens:937$;J. Zemura:884$;R. Fredericks:827$;Jack Stacey:311$,P. Billing:712$;R. Christie:631$;J. Lerma:688$;M. Tavernier:172$;H. Traore:741$;Joe Rothwell:332$;L. Cook:195$;E. Pollock:461$,Dominic Solanke:105$;D. Ouattara:693$;K. Moore:471$;J. Anthony:113$;A. Semenyo:103$;J. Stanislas:560$;D. Brooks:354$;Michael Dacosta:631$;Daniel Adu-Adjei:367$;D. Sadi:238$
Arsenal FC,A. Ramsdale:325$;M. Turner:195$;Karl Hein:357$,Gabriel Magalhaes:393$;W. Saliba:373$;B. White:461$;O. Zinchenko:544$;K. Tierney:251$;Takehiro Tomiyasu:386$;Jakub Kiwior:306$;Rob Holding:254$;Matthew Smith:108$;Lino Sousa:115$;Reuell Walters:629$,B. Saka:392$;G. Xhaka:282$;M. Odegaard:231$;Thomas:407$;Jorginho:574$;M. Elneny:143$;Fabio Vieira:499$;Smith Rowe:460$;Amario Cozier:432$;Ethan Nwaneri:612$,Gabriel Jesus:488$;Martinelli:118$;L. Trossard:613$;Edward Nketiah:623$;Reiss Nelson:921$
Aston Villa,Emiliano Martinez:735$;R. Olsen:868$;Viljami Sinisalo:670$;Oliwier Zych:542$;James Wright:577$;J. Steer:755$,T. Mings:572$;Alex Moreno:741$;E. Konsa:968$;L. Digne:177$;Diego Carlos:508$;A. Young:846$;M. Cash:645$;C. Chambers:761$;Sebastian Revan:763$;Sil Swinkels:810$;Travis Patterson:643$,J. Mcginn:234$;Douglas Luiz:118$;B. Kamara:820$;J. Ramsey:270$;L. Dendoncker:376$;Tommi O'reilly:351$,O. Watkins:884$;E. Buendia:710$;L. Bailey:573$;P. Coutinho:760$;B. Traore:247$;J. Duran:756$;Kadan Young:198$
Brentford FC,D. Raya:288$;T. Strakosha:439$;M. Cox:576$,E. Pinnock:508$;B. Mee:826$;R. Henry:650$;P. Jansson:744$;K. Ajer:345$;A. Hickey:152$;M. Roerslev:292$;Zanka:599$;F. Stevens:113$,M. Jensen:541$;V. Janelt:732$;C. Norgaard:532$;Josh Dasilva:308$;O. Onyeka:408$;S. Ghoddos:750$;S. Baptiste:441$;Y. Yarmolyuk:826$;R. Trevitt:246$;T. Crama:221$,I. Toney:291$;B. Mbeumo:490$;Y. Wissa:782$;K. Lewis-Potter:107$;M. Damsgaard:367$;K. Schade:914$;M. Olakigbe:684$
Brighton FC,R. Sanchez:749$;J. Steele:613$;Thomas Mcgill:288$,P. Estupinan:381$;L. Dunk:128$;J. Veltman:813$;Adam Webster:750$;T. Lamptey:698$;Levi Colwill:855$;Jan Van Hecke:826$;Imari Samuels:493$;Oddel Offiah:250$,P. Gross:655$;A. Mac Allister:853$;S. March:670$;Moises Caicedo:920$;A. Lallana:443$;B. Gilmour:647$;F. Buonanotte:865$;Yasin Ayari:906$;Cameron Peupion:980$;Jeremy Sarmiento:546$;Andrew Moran:949$;J. Moder:237$,K. Mitoma:970$;Danny Welbeck:100$;Julio Enciso:760$;Evan Ferguson:492$;D. Undav:325$
Chelsea FC,Kepa:424$;E. Mendy:937$;Gabriel Slonina:147$;Marcus Bettinelli:202$,K. Koulibaly:578$;Thiago Silva:751$;Reece James:155$;M. Cucurella:808$;C. Azpilicueta:746$;Ben Chilwell:711$;B. Badiashile:957$;W. Fofana:262$;Trevoh Chalobah:429$,K. Havertz:610$;Mason Mount:800$;M. Kovacic:706$;E. Fernandez:441$;N. Kante:218$;H. Ziyech:588$;Conor Gallagher:444$;R. Loftus-Cheek:404$;D. Zakaria:362$;Lewis Hall:395$;Harvey Vale:995$;Carney Chukwuemeka:577$,R. Sterling:547$;P. Aubameyang:390$;Joao Felix:356$;C. Pulisic:468$;M. Mudryk:815$;A. Broja:228$;Noni Madueke:443$;David Fofana:787$;Omari Hutchinson:600$
Crystal Palace,V. Guaita:197$;Sam Johnstone:314$;Owen Goodman:144$;Joe Whitworth:232$,Marc Guehi:622$;J. Andersen:769$;T. Mitchell:468$;J. Ward:912$;N. Clyne:453$;J. Tomkins:876$;Chris Richards:851$;Kofi Balmer:534$;Kayden Rodney:819$;Nathan Ferguson:271$,E. Eze:752$;M. Olise:106$;C. Doucoure:821$;Jeffrey Schlupp:615$;J. Mcarthur:742$;A. Lokonga:276$;William Hughes:700$;N. Ahamada:239$;L. Milivojevic:145$;Jack Wells-Morrison:970$;Jairo Riedewald:831$;David Ozoh:838$,W. Zaha:706$;J. Ayew:391$;O. Edouard:791$;Jean Mateta:671$
Everton FC,Jordan Pickford:576$;A. Begovic:852$;A. Lonergan:627$,V. Mykolenko:728$;J. Tarkowski:259$;C. Coady:194$;Seamus Coleman:723$;M. Keane:956$;B. Godfrey:345$;Nathan Patterson:274$;Y. Mina:401$;Mason Holgate:679$;Ruben Vinagre:286$;Reece Welch:615$;Ishe Samuels:124$,Alex Iwobi:960$;I. Gueye:129$;A. Doucoure:528$;A. Onana:240$;James Garner:462$;Tom Davies:866$;Isaac Price:387$;Stanley Mills:492$;Kyle John:455$,D. McNeil:729$;Dominic Calvert-Lewin:956$;Demarai Gray:954$;N. Maupay:997$;E. Simms:583$;Andros Townsend:134$
Fulham FC,B. Leno:408$;M. Rodak:516$;George Wickens:345$,Antonee Robinson:288$;T. Ream:961$;K. Tete:101$;Tosin Adarabioyo:604$;I. Diop:466$;Cedric Soares:954$;S. Duffy:783$;L. Kurzawa:977$;Charlie Robinson:209$;Stefan Parkes:500$,A. Pereira:324$;J. Palhinha:980$;B. Reid:353$;Harrison Reed:781$;S. Lukic:335$;T. Cairney:818$;Luke Harris:781$;T. Francois:514$;Matthew Dibley:320$;Kristian Sekularac:935$,A. Mitrovic:529$;Willian:219$;Harry Wilson:301$;Daniel James:112$;M. Solomon:767$;N. Kebano:972$;Vinicius:861$;Terry Ablade:261$;Martial Godo:660$
Leeds United,I. Meslier:487$;Kristoffer Klaesson:750$;Joel Robles:100$,R. Kristensen:152$;M. Wober:741$;R. Koch:964$;Luke Ayling:617$;P. Struijk:855$;Liam Cooper:732$;Junior Firpo:693$;Diogo Monteiro:820$;S. Dallas:243$,T. Adams:489$;W. Mckennie:986$;Brenden Aaronson:804$;Marc Roca:233$;Adam Forshaw:454$;Darko Gyabi:351$;Archie Gray:108$,J. Harrison:416$;Rodrigo:888$;L. Sinisterra:415$;Patrick Bamford:550$;Gnonto:144$;Crysencio Summerville:313$;Georginio Rutter:687$;Sam Greenwood:338$;Sonny Perkins:224$;Mateo Joseph:421$
