match,result,injured,yellow-card,red-card,scores
Crystal Palace:AFC Bournemouth,0:0,L. Cook,O. Edouard;M. Olise;Neto;Jack Stephens,,Joe Whitworth:4.7;Kayden Rodney:5.6;T. Mitchell:5.9;J. Andersen:9.7;Kofi Balmer:4.7;M. Olise:9.9;Jack Wells-Morrison:9.6;William Hughes:6.4;David Ozoh:6.7;O. Edouard:4.6;W. Zaha:4.5;J. Ayew:6.5;Jean Mateta:4.9;Neto:7.5;I. Zabarnyi:6.4;C. Mepham:8.8;M. Senesi:8.9;Jack Stephens:6.8;J. Lerma:9.8;P. Billing:8.6;L. Cook:7.9;H. Traore:9.9;D. Sadi:6.7;D. Brooks:4.6;K. Moore:7.8
Chelsea FC:Everton FC,4:5,,Omari Hutchinson;Reece Welch,James Garner,Kepa:7.8;W. Fofana:5.5;Ben Chilwell:5.6;Reece James:6.8;C. Azpilicueta:6.7;K. Havertz:8.5;Harvey Vale:5.6;D. Zakaria:7.5;M. Mudryk:5.9;Omari Hutchinson:8.7;Noni Madueke:6.4;A. Broja:5.4;A. Begovic:9.7;Ruben Vinagre:6.9;Y. Mina:8.6;Reece Welch:5.6;Nathan Patterson:8.5;James Garner:6.4;Stanley Mills:4.6;A. Doucoure:7.5;Andros Townsend:4.8;E. Simms:8.4;Dominic Calvert-Lewin:7.7
Brighton FC:Fulham FC,4:3,Julio Enciso,Jan Van Hecke;A. Mitrovic,,R. Sanchez:8.7;J. Veltman:5.7;Oddel Offiah:6.7;Jan Van Hecke:7.9;T. Lamptey:6.6;Moises Caicedo:8.5;Cameron Peupion:4.6;Andrew Moran:6.8;F. Buonanotte:4.9;Evan Ferguson:4.4;K. Mitoma:9.9;Julio Enciso:7.6;Danny Welbeck:4.8;M. Rodak:5.8;T. Ream:9.8;L. Kurzawa:8.7;S. Duffy:6.5;Tosin Adarabioyo:7.6;Stefan Parkes:9.7;A. Pereira:8.4;B. Reid:6.7;T. Francois:9.5;Luke Harris:6.6;A. Mitrovic:8.6;Daniel James:5.6;Vinicius:9.7;M. Solomon:8.7
Brentford FC:Leeds United,3:4,O. Onyeka;Brenden Aaronson,Gnonto,,M. Cox:5.6;Zanka:6.7;B. Mee:9.8;F. Stevens:7.4;M. Roerslev:5.9;C. Norgaard:7.5;S. Ghoddos:5.9;Y. Yarmolyuk:7.5;O. Onyeka:6.4;M. Olakigbe:7.5;Y. Wissa:6.4;B. Mbeumo:6.5;I. Toney:5.5;Joel Robles:4.9;P. Struijk:5.4;R. Kristensen:9.4;Liam Cooper:7.6;Junior Firpo:4.5;Diogo Monteiro:7.5;Marc Roca:7.8;Brenden Aaronson:4.9;Adam Forshaw:6.7;Archie Gray:8.7;J. Harrison:6.4;Sonny Perkins:5.9;L. Sinisterra:6.4;Gnonto:8.6
Aston Villa:Leicester City,0:4,Y. Tielemans,B. Traore,A. Smithies,Emiliano Martinez:8.4;Diego Carlos:6.6;Alex Moreno:5.7;Sil Swinkels:9.4;M. Cash:6.9;B. Kamara:6.5;L. Dendoncker:5.6;Douglas Luiz:8.5;Tommi O'reilly:5.5;B. Traore:6.8;P. Coutinho:7.4;Kadan Young:6.7;J. Duran:8.9;A. Smithies:4.4;C. Soyuncu:7.5;Harry Souttar:6.7;Joe Wormleighton:6.7;W. Faes:9.6;J. Maddison:8.4;Y. Tielemans:9.4;D. Praet:4.7;P. Daka:9.8;J. Vardy:6.6;K. Iheanacho:7.6
Arsenal FC:Liverpool FC,5:1,,,,Karl Hein:7.8;Matthew Smith:4.5;Lino Sousa:6.9;W. Saliba:6.6;K. Tierney:8.9;Smith Rowe:7.7;B. Saka:5.5;Thomas:8.6;Amario Cozier:9.7;Martinelli:9.8;L. Trossard:5.9;Gabriel Jesus:7.6;Reiss Nelson:4.4;Harvey Davies:6.8;Nathaniel Phillips:8.4;I. Konate:7.5;Calvin Ramsay:4.9;Joe Gomez:7.7;Curtis Jones:6.4;Ben Doak:4.7;Arthur Henrique:7.5;Bobby Clark:5.9;C. Gakpo:7.6;D. Nunez:7.7;L. Diaz:8.6
Wolves:Man. City,5:5,,R. Mahrez,,Jose Sa:6.7;Joseph Hodge:4.9;M. Kilman:7.9;N. Semedo:5.7;Toti Gomes:6.7;R. Ait-Nouri:4.5;Joao Gomes:7.4;Ruben Neves:8.9;Matheus Nunes:4.9;Boubacar Traore:5.6;A. Traore:4.4;Chiquinho:9.8;P. Sarabia:4.4;S. Carson:5.7;A. Laporte:8.5;M. Akanji:7.6;Rico Lewis:8.8;K. Walker:8.8;B. Mendy:6.6;C. Palmer:8.6;K. Phillips:4.5;Bernardo Silva:9.8;J. Grealish:6.5;J. Alvarez:5.4;R. Mahrez:5.6;Benjamin Knight:7.6
West Ham United:Manchester United,2:2,Danny Ings,S. Benrahma;Danny Ings;Antony;J. Butland,,A. Areola:5.5;Kurt Zouma:4.8;Angelo Ogbonna:5.7;T. Kehrer:4.7;V. Coufal:8.8;F. Downes:4.6;Armstrong Okoflex:8.7;M. Lanzini:8.4;Divin Mubama:5.8;S. Benrahma:9.6;M. Antonio:8.6;Danny Ings:6.8;J. Butland:8.4;Brandon Williams:8.4;L. Shaw:5.9;Phil Jones:6.9;Marc Jurado:5.4;A. Wan-Bissaka:7.4;Bruno Fernandes:5.9;D. Van De Beek:6.8;Scott Mctominay:4.9;A. Martial:8.5;Antony:7.5;Alejandro Garnacho:5.7
Tottenham Hotspur:Newcastle United,5:2,,Heung-Min Son;M. Almiron;A. Gordon,,Brandon Austin:8.6;Pedro Porro:7.8;Emerson Royal:5.5;C. Romero:4.9;Japhet Tanganga:6.4;Y. Bissouma:9.9;I. Perisic:4.7;Alfie Devine:9.4;Heung-Min Son:6.8;H. Kane:9.9;D. Kulusevski:5.5;Nick Pope:8.4;J. Lascelles:7.8;J. Lewis:4.8;Matt Targett:6.4;Harrison Ashby:4.4;S. Longstaff:7.8;M. Almiron:5.4;Matthew Longstaff:8.6;Ryan Fraser:4.9;A. Gordon:5.9;A. Saint-Maximin:9.5;A. Isak:8.7
Southampton FC:Nottingham Forest,4:2,Samuel Edozie;H. Toffolo,Giulian Biancone,Renan Lodi,W. Caballero:6.5;James Bree:6.7;A. Bella-Kotchap:6.9;J. Bednarek:5.4;Tino Livramento:4.8;Lyanco:7.6;C. Alcaraz:8.9;J. Ward-Prowse:6.5;Ainsley Maitland:7.8;Ibrahima Diallo:9.9;Sekou Mara:9.7;P. Onuachu:8.7;Samuel Edozie:9.6;Che Adams:5.9;George Shelvey:9.6;H. Toffolo:5.9;S. Aurier:8.6;Giulian Biancone:5.9;J. Worrall:4.6;Renan Lodi:4.9;Orel Mangala:9.7;R. Yates:8.9;J. Lingard:9.7;J. Colback:6.8;Lyle Taylor:7.5;A. Ayew:9.9;Alexander Mighten:4.9;B. Johnson:4.9
