match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Southampton FC:AFC Bournemouth,4:2,,M. Orsic;G. Bazunu,J. Anthony,D. Caleta-Car:Sekou Mara;James Bree:J. Ward-Prowse;J. Bednarek:M. Orsic;Che Adams:C. Alcaraz;Jack Stephens:D. Brooks;J. Anthony:Daniel Adu-Adjei,G. Bazunu;J. Bednarek;Kyle Walker-Peters;James Bree;D. Caleta-Car;J. Ward-Prowse;C. Alcaraz;Romeo Lavia;M. Orsic;Sekou Mara;Che Adams,M. Travers;R. Fredericks;I. Zabarnyi;Jack Stacey;Jack Stephens;J. Lerma;Joe Rothwell;E. Pollock;D. Brooks;Daniel Adu-Adjei;J. Anthony
Nottingham Forest:Tottenham Hotspur,5:3,R. Yates,Keylor Navas;Giulian Biancone;R. Bentancur,C. Lenglet,T. Awoniyi:S. Cook;R. Yates:B. Johnson;S. Surridge:Cafu;S. Aurier:N. Williams;Giulian Biancone:Orel Mangala;Emerson Royal:Heung-Min Son;C. Lenglet:C. Romero;Matthew Craig:I. Perisic,Keylor Navas;S. Cook;N. Williams;Giulian Biancone;S. Aurier;Cafu;R. Yates;Orel Mangala;T. Awoniyi;S. Surridge;B. Johnson,F. Forster;C. Lenglet;C. Romero;Pedro Porro;Emerson Royal;I. Perisic;R. Bentancur;Matthew Craig;H. Kane;Heung-Min Son;Richarlison
Newcastle United:West Ham United,4:2,Harrison Ashby,P. Dummett,Angelo Ogbonna,J. Manquillo:J. Murphy;K. Trippier:Harrison Ashby;P. Dummett:E. Anderson;A. Gordon:C. Wilson;M. Lanzini:N. Aguerd;J. Bowen:Kurt Zouma,M. Dubravka;K. Trippier;Harrison Ashby;P. Dummett;J. Manquillo;E. Anderson;B. Guimaraes;Joe Willock;A. Gordon;C. Wilson;J. Murphy,L. Fabianski;N. Aguerd;Angelo Ogbonna;B. Johnson;Kurt Zouma;M. Lanzini;D. Rice;Kaelan Casey;M. Antonio;S. Benrahma;J. Bowen
Manchester United:Wolves,1:4,W. Weghorst,M. Rashford;Lisandro Martinez;A. Traore,,Casemiro:M. Rashford;Chiquinho:Harvey Griffiths;C. Dawson:M. Kilman;Joao Gomes:M. Lemina;A. Traore:N. Semedo,Nathan Bishop;Teden Mengi;Lisandro Martinez;Marc Jurado;A. Wan-Bissaka;Casemiro;Zidane Iqbal;D. Van De Beek;W. Weghorst;A. Elanga;M. Rashford,D. Bentley;Hugo Bueno;M. Kilman;C. Dawson;N. Semedo;Joao Gomes;M. Lemina;Harvey Griffiths;Chiquinho;R. Jimenez;A. Traore
Man. City:Arsenal FC,0:1,Gabriel Magalhaes,K. De Bruyne;Martinelli,M. Akanji,Amario Cozier:M. Odegaard,S. Ortega;K. Walker;M. Akanji;Ruben Dias;J. Stones;I. Gundogan;K. De Bruyne;C. Palmer;J. Grealish;E. Haaland;J. Alvarez,Karl Hein;O. Zinchenko;Reuell Walters;Gabriel Magalhaes;K. Tierney;Amario Cozier;Ethan Nwaneri;M. Odegaard;Edward Nketiah;Gabriel Jesus;Martinelli
Liverpool FC:Aston Villa,1:2,Kadan Young,,J. Ramsey,M. Salah:H. Elliott;B. Traore:A. Young;Alex Moreno:Sebastian Revan,Harvey Davies;V. Van Dijk;J. Matip;K. Tsimikas;Joe Gomez;J. Henderson;Stefan Bajcetic;H. Elliott;D. Nunez;M. Salah;Firmino,James Wright;Alex Moreno;Sebastian Revan;A. Young;M. Cash;J. Ramsey;J. Mcginn;B. Kamara;Kadan Young;E. Buendia;B. Traore
Leicester City:Brentford FC,5:2,W. Faes;R. Henry,Y. Tielemans;W. Ndidi;E. Pinnock,J. Vardy,W. Ndidi:J. Vardy;Jonathan Evans:P. Daka;Jannik Vestergaard:Harry Souttar;Y. Tielemans:Tete;Kiernan Dewsbury-Hall:W. Faes;T. Crama:A. Hickey;I. Toney:E. Pinnock,A. Smithies;Jonathan Evans;Harry Souttar;W. Faes;Jannik Vestergaard;Y. Tielemans;W. Ndidi;Kiernan Dewsbury-Hall;P. Daka;J. Vardy;Tete,M. Cox;E. Pinnock;F. Stevens;A. Hickey;R. Henry;S. Baptiste;T. Crama;R. Trevitt;B. Mbeumo;Y. Wissa;I. Toney
Leeds United:Brighton FC,5:3,L. Sinisterra,,,R. Kristensen:Junior Firpo;M. Wober:Liam Cooper;L. Sinisterra:T. Adams;Sam Greenwood:Gnonto;Darko Gyabi:W. Mckennie;J. Moder:Andrew Moran;L. Dunk:T. Lamptey;Danny Welbeck:Julio Enciso,Kristoffer Klaesson;M. Wober;Liam Cooper;Junior Firpo;R. Kristensen;Darko Gyabi;W. Mckennie;T. Adams;L. Sinisterra;Gnonto;Sam Greenwood,Thomas Mcgill;Adam Webster;T. Lamptey;L. Dunk;Jan Van Hecke;J. Moder;Andrew Moran;F. Buonanotte;K. Mitoma;Danny Welbeck;Julio Enciso
Fulham FC:Chelsea FC,4:0,,Omari Hutchinson,,S. Duffy:S. Lukic;Harry Wilson:Willian;Harrison Reed:Terry Ablade;L. Kurzawa:Cedric Soares;,M. Rodak;S. Duffy;Cedric Soares;L. Kurzawa;Charlie Robinson;S. Lukic;Harrison Reed;T. Francois;Terry Ablade;Harry Wilson;Willian,Marcus Bettinelli;C. Azpilicueta;Thiago Silva;B. Badiashile;W. Fofana;D. Zakaria;Mason Mount;Conor Gallagher;Joao Felix;Noni Madueke;Omari Hutchinson
Everton FC:Crystal Palace,2:4,Ruben Vinagre;C. Doucoure,Y. Mina;Isaac Price;J. Andersen,J. Tomkins,M. Keane:Y. Mina;E. Simms:Demarai Gray;J. Tomkins:J. Ayew;Kayden Rodney:L. Milivojevic;O. Edouard:T. Mitchell;W. Zaha:William Hughes,A. Lonergan;M. Keane;Y. Mina;V. Mykolenko;Ruben Vinagre;Isaac Price;Kyle John;Alex Iwobi;E. Simms;D. McNeil;Demarai Gray,Sam Johnstone;T. Mitchell;Kayden Rodney;J. Tomkins;J. Andersen;C. Doucoure;William Hughes;L. Milivojevic;O. Edouard;J. Ayew;W. Zaha
