Team,Goalkeepers,Defenders,Midfielder,Forwards
AFC Bournemouth,Neto;M. Travers;D. Randolph;C. Plain,M. Senesi;L. Kelly;A. Smith;C. Mepham;I. Zabarnyi;M. Vina;Jack Stephens;J. Zemura;R. Fredericks;Jack Stacey,P. Billing;R. Christie;J. Lerma;M. Tavernier;H. Traore;Joe Rothwell;L. Cook;E. Pollock,Dominic Solanke;D. Ouattara;K. Moore;J. Anthony;A. Semenyo;J. Stanislas;D. Brooks;Michael Dacosta;Daniel Adu-Adjei;D. Sadi
Arsenal FC,A. Ramsdale;M. Turner;Karl Hein,Gabriel Magalhaes;W. Saliba;B. White;O. Zinchenko;K. Tierney;Takehiro Tomiyasu;Jakub Kiwior;Rob Holding;Matthew Smith;Lino Sousa;Reuell Walters,B. Saka;G. Xhaka;M. Odegaard;Thomas;Jorginho;M. Elneny;Fabio Vieira;Smith Rowe;Amario Cozier;Ethan Nwaneri,Gabriel Jesus;Martinelli;L. Trossard;Edward Nketiah;Reiss Nelson
Aston Villa,Emiliano Martinez;R. Olsen;Viljami Sinisalo;Oliwier Zych;James Wright;J. Steer,T. Mings;Alex Moreno;E. Konsa;L. Digne;Diego Carlos;A. Young;M. Cash;C. Chambers;Sebastian Revan;Sil Swinkels;Travis Patterson,J. Mcginn;Douglas Luiz;B. Kamara;J. Ramsey;L. Dendoncker;Tommi O'reilly,O. Watkins;E. Buendia;L. Bailey;P. Coutinho;B. Traore;J. Duran;Kadan Young
Brentford FC,D. Raya;T. Strakosha;M. Cox,E. Pinnock;B. Mee;R. Henry;P. Jansson;K. Ajer;A. Hickey;M. Roerslev;Zanka;F. Stevens,M. Jensen;V. Janelt;C. Norgaard;Josh Dasilva;O. Onyeka;S. Ghoddos;S. Baptiste;Y. Yarmolyuk;R. Trevitt;T. Crama,I. Toney;B. Mbeumo;Y. Wissa;K. Lewis-Potter;M. Damsgaard;K. Schade;M. Olakigbe
Brighton FC,R. Sanchez;J. Steele;Thomas Mcgill,P. Estupinan;L. Dunk;J. Veltman;Adam Webster;T. Lamptey;Levi Colwill;Jan Van Hecke;Imari Samuels;Oddel Offiah,P. Gross;A. Mac Allister;S. March;Moises Caicedo;A. Lallana;B. Gilmour;F. Buonanotte;Yasin Ayari;Cameron Peupion;Jeremy Sarmiento;Andrew Moran;J. Moder,K. Mitoma;Danny Welbeck;Julio Enciso;Evan Ferguson;D. Undav
Chelsea FC,Kepa;E. Mendy;Gabriel Slonina;Marcus Bettinelli,K. Koulibaly;Thiago Silva;Reece James;M. Cucurella;C. Azpilicueta;Ben Chilwell;B. Badiashile;W. Fofana;Trevoh Chalobah,K. Havertz;Mason Mount;M. Kovacic;E. Fernandez;N. Kante;H. Ziyech;Conor Gallagher;R. Loftus-Cheek;D. Zakaria;Lewis Hall;Harvey Vale;Carney Chukwuemeka,R. Sterling;P. Aubameyang;Joao Felix;C. Pulisic;M. Mudryk;A. Broja;Noni Madueke;David Fofana;Omari Hutchinson
Crystal Palace,V. Guaita;Sam Johnstone;Owen Goodman;Joe Whitworth,Marc Guehi;J. Andersen;T. Mitchell;J. Ward;N. Clyne;J. Tomkins;Chris Richards;Kofi Balmer;Kayden Rodney;Nathan Ferguson,E. Eze;M. Olise;C. Doucoure;Jeffrey Schlupp;J. Mcarthur;A. Lokonga;William Hughes;N. Ahamada;L. Milivojevic;Jack Wells-Morrison;Jairo Riedewald;David Ozoh,W. Zaha;J. Ayew;O. Edouard;Jean Mateta
Everton FC,Jordan Pickford;A. Begovic;A. Lonergan,V. Mykolenko;J. Tarkowski;C. Coady;Seamus Coleman;M. Keane;B. Godfrey;Nathan Patterson;Y. Mina;Mason Holgate;Ruben Vinagre;Reece Welch;Ishe Samuels,Alex Iwobi;I. Gueye;A. Doucoure;A. Onana;James Garner;Tom Davies;Isaac Price;Stanley Mills;Kyle John,D. McNeil;Dominic Calvert-Lewin;Demarai Gray;N. Maupay;E. Simms;Andros Townsend
Fulham FC,B. Leno;M. Rodak;George Wickens,Antonee Robinson;T. Ream;K. Tete;Tosin Adarabioyo;I. Diop;Cedric Soares;S. Duffy;L. Kurzawa;Charlie Robinson;Stefan Parkes,A. Pereira;J. Palhinha;B. Reid;Harrison Reed;S. Lukic;T. Cairney;Luke Harris;T. Francois;Matthew Dibley;Kristian Sekularac,A. Mitrovic;Willian;Harry Wilson;Daniel James;M. Solomon;N. Kebano;Vinicius;Terry Ablade;Martial Godo
Leeds United,I. Meslier;Kristoffer Klaesson;Joel Robles,R. Kristensen;M. Wober;R. Koch;Luke Ayling;P. Struijk;Liam Cooper;Junior Firpo;Diogo Monteiro;S. Dallas,T. Adams;W. Mckennie;Brenden Aaronson;Marc Roca;Adam Forshaw;Darko Gyabi;Archie Gray,J. Harrison;Rodrigo;L. Sinisterra;Patrick Bamford;Gnonto;Crysencio Summerville;Georginio Rutter;Sam Greenwood;Sonny Perkins;Mateo Joseph
Leicester City,D. Ward;Daniel Iversen;A. Smithies,T. Castagne;J. Justin;W. Faes;Jonathan Evans;C. Soyuncu;D. Amartey;V. Kristiansen;Harry Souttar;Ricardo Pereira;L. Thomas;Jannik Vestergaard;Ryan Bertrand;Lewis Brunt;Joe Wormleighton,Y. Tielemans;J. Maddison;Kiernan Dewsbury-Hall;W. Ndidi;B. Soumare;N. Mendy;D. Praet;Sammy Braybrooke,Harvey Barnes;J. Vardy;K. Iheanacho;P. Daka;Tete
Liverpool FC,Alisson;Caoimhin Kelleher;Harvey Davies;Adrian,V. Van Dijk;A. Robertson;Alexander-Arnold;I. Konate;J. Matip;Joe Gomez;K. Tsimikas;Rhys Williams;Nathaniel Phillips;Calvin Ramsay,Fabinho;J. Henderson;Thiago;H. Elliott;J. Milner;Curtis Jones;N. Keita;Fabio Carvalho;Arthur Henrique;A. Oxlade-Chamberlain;Stefan Bajcetic;Bobby Clark;Ben Doak,M. Salah;C. Gakpo;L. Diaz;D. Nunez;Diogo Jota;Firmino
Man. City,Ederson;S. Ortega;S. Carson,J. Stones;Ruben Dias;M. Akanji;N. Ake;K. Walker;A. Laporte;S. Gomez;Rico Lewis;B. Mendy,K. De Bruyne;Rodri;I. Gundogan;Bernardo Silva;P. Foden;K. Phillips;Maximo Perrone;C. Palmer,E. Haaland;J. Grealish;R. Mahrez;J. Alvarez;Benjamin Knight
Manchester United,D. De Gea;Nathan Bishop;J. Butland;T. Heaton,L. Shaw;R. Varane;Lisandro Martinez;D. Dalot;A. Wan-Bissaka;H. Maguire;V. Lindelof;T. Malacia;Brandon Williams;Teden Mengi;Marc Jurado;Rhys Bennett;Phil Jones,Bruno Fernandes;Casemiro;C. Eriksen;Scott Mctominay;Fred;M. Sabitzer;D. Van De Beek;Zidane Iqbal;Kobbie Mainoo,M. Rashford;Antony;Jadon Sancho;W. Weghorst;A. Martial;A. Elanga;Alejandro Garnacho;F. Pellistri;M. Greenwood
Newcastle United,Nick Pope;M. Dubravka;L. Karius;Mark Gillespie,K. Trippier;S. Botman;F. Schar;D. Burn;E. Krafth;Matt Targett;J. Lascelles;J. Lewis;P. Dummett;Harrison Ashby;J. Manquillo,B. Guimaraes;M. Almiron;Joe Willock;Joelinton;S. Longstaff;M. Ritchie;E. Anderson;Matthew Longstaff,A. Isak;C. Wilson;A. Saint-Maximin;J. Murphy;A. Gordon;Ryan Fraser
Nottingham Forest,Keylor Navas;Dean Henderson;W. Hennessey;George Shelvey,Renan Lodi;S. Aurier;J. Worrall;S. McKenna;N. Williams;Felipe;M. Niakhate;W. Boly;H. Toffolo;S. Cook;Giulian Biancone;Omar Richards,R. Freuler;Danilo;M. Gibbs-White;Gustavo Scarpa;R. Yates;Orel Mangala;C. Kouyate;J. Shelvey;J. Lingard;J. Colback;Cafu;H. Arter,B. Johnson;T. Awoniyi;Chris Wood;A. Ayew;E. Dennis;Lyle Taylor;S. Surridge;Alexander Mighten
Southampton FC,G. Bazunu;Alex Mccarthy;W. Caballero,M. Salisu;J. Bednarek;Kyle Walker-Peters;R. Perraud;D. Caleta-Car;A. Bella-Kotchap;James Bree;Lyanco;Tino Livramento;Juan Larios,J. Ward-Prowse;Joe Aribo;S. Armstrong;C. Alcaraz;Romeo Lavia;Ainsley Maitland;Ibrahima Diallo,Che Adams;M. Elyounoussi;M. Orsic;Adam Armstrong;P. Onuachu;K. Sulemana;Theo Walcott;Moussa Djenepo;Sekou Mara;Samuel Edozie
Tottenham Hotspur,H. Lloris;F. Forster;Alfie Whiteman;Brandon Austin,E. Dier;C. Romero;B. Davies;Emerson Royal;Pedro Porro;C. Lenglet;D. Sanchez;Japhet Tanganga;George Abbott,Pierre-Emile Hojbjerg;I. Perisic;R. Bentancur;Oliver Skipp;Y. Bissouma;R. Sessegnon;Pape Sarr;Alfie Devine;Romaine Mundle;Matthew Craig,H. Kane;Heung-Min Son;D. Kulusevski;Richarlison;A. Danjuma;Lucas Moura
West Ham United,L. Fabianski;A. Areola;Joseph Anang,N. Aguerd;V. Coufal;Kurt Zouma;A. Cresswell;Emerson;T. Kehrer;Angelo Ogbonna;B. Johnson,T. Soucek;D. Rice;L. Paqueta;P. Fornals;M. Lanzini;F. Downes;Kaelan Casey;Armstrong Okoflex,J. Bowen;M. Antonio;S. Benrahma;G. Scamacca;Danny Ings;Gnaly Cornet;Divin Mubama
Wolves,Jose Sa;D. Bentley;Louie Moulden,N. Semedo;C. Dawson;M. Kilman;N. Collins;Jonny;R. Ait-Nouri;Toti Gomes;Hugo Bueno;Joseph Hodge;Dexter Lembikisa,Ruben Neves;Joao Moutinho;Matheus Nunes;M. Lemina;Joao Gomes;Boubacar Traore;Harvey Griffiths,R. Jimenez;Matheus Cunha;S. Kalajdzic;P. Sarabia;D. Podence;A. Traore;Hee-Chan Hwang;Diego Costa;Pedro Neto;Nathan Fraser;Chiquinho
